代码,名称,最新价,IOPV实时估值,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,换手率,流通市值,总市值
589990,科创综指ETF华泰柏瑞,1.028,1.0282,0.1,278350,28518962.0,1.028,1.03,1.016,1.027,5.82,491476520,491476520
589900,科创综指ETF博时,1.015,1.0152,0.1,1306950,132064532.0,1.012,1.019,1.002,1.014,11.54,1149901831,1149901831
589890,科创综指ETF景顺,1.014,1.0189,0.1,1418598,143709575.0,1.012,1.018,1.003,1.013,16.5,872026826,872026826
589880,科创综指ETF建信,1.02,1.0218,0.39,1488933,151525788.0,1.015,1.025,1.01,1.016,15.84,958795920,958795920
589860,科创综指ETF天弘,1.007,1.0091,0.0,1031206,103584905.0,1.003,1.013,0.997,1.007,11.38,912567568,912567568
589800,科创综指ETF易方达,1.014,1.0148,0.3,1177944,118994954.0,1.012,1.019,1.001,1.011,9.92,1204620043,1204620043
589770,科创综指ETF招商,1.024,1.0237,0.49,842938,85941083.0,1.02,1.026,1.009,1.019,15.09,571974861,571974861
589680,科创综指ETF鹏华,1.018,1.0189,0.59,3177538,322428212.0,1.012,1.022,1.005,1.012,22.94,1409872683,1409872683
589660,科创综指ETF南方,1.021,1.0236,0.1,756105,77047610.0,1.016,1.026,1.009,1.02,13.09,589658130,589658130
589600,科创综指ETF富国,1.003,1.0035,0.6,1392679,139344357.0,0.997,1.005,0.991,0.997,8.34,1675546613,1675546613
589500,科创综指ETF工银,1.013,1.0193,0.3,1210862,122587807.0,1.011,1.018,1.003,1.01,15.42,795269832,795269832
589080,科创综指ETF汇添富,1.023,1.0244,0.29,891247,90753114.0,1.017,1.026,1.009,1.02,10.09,903371411,903371411
589000,科创综指ETF华夏,1.024,1.0233,0.69,618448,62955232.0,1.017,1.025,1.007,1.017,7.81,810503995,810503995
588990,科创芯片ETF博时,1.76,1.7635,-0.06,128965,22550964.0,1.748,1.769,1.729,1.761,10.1,224831904,224831904
588960,科创板新能源ETF,1.062,1.0613,1.92,33017,3483181.0,1.047,1.062,1.037,1.042,11.55,30351748,30351748
588950,科创50ETF景顺,1.135,1.1365,-0.35,56774,6414162.0,1.139,1.139,1.118,1.139,2.87,224423210,224423210
588930,科创板人工智能ETF,1.306,1.3052,-0.38,754961,98209943.0,1.311,1.314,1.285,1.311,15.75,626003684,626003684
588900,科创100ETF南方,1.055,1.0572,0.0,161965,17017602.0,1.058,1.062,1.044,1.055,5.71,299391073,299391073
588890,科创芯片ETF南方,1.888,1.8874,-0.26,53627,10076603.0,1.894,1.896,1.855,1.893,1.99,509401280,509401280
588880,科创100ETF华泰柏瑞,1.017,1.0184,-0.1,242670,24588720.0,1.017,1.02,1.005,1.018,8.98,274964256,274964256
588870,科创50指数ETF,1.136,1.1336,0.09,133868,15101332.0,1.134,1.138,1.117,1.135,11.79,128995072,128995072
588860,科创医药ETF,1.251,1.2467,0.81,396159,49231503.0,1.263,1.264,1.231,1.241,9.47,523474325,523474325
588840,N科创板50ETF基金,1.012,1.014,-0.2,469235,47477297.0,1.009,1.018,0.998,1.014,18.31,259310832,259310832
588830,科创新能源ETF,1.189,1.1844,2.24,685699,80857976.0,1.163,1.189,1.163,1.163,16.29,500388158,500388158
588820,科创200ETF基金,1.201,1.2009,0.76,60455,7244569.0,1.188,1.21,1.188,1.192,21.29,34108400,34108400
588810,科创芯片ETF富国,1.184,1.1807,-0.17,74391,8734772.0,1.188,1.188,1.161,1.186,11.22,78527616,78527616
588800,科创100ETF华夏,1.019,1.0195,-0.1,2181281,221400096.0,1.015,1.024,1.006,1.02,5.95,3737057171,3737057171
